City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,novodvinsk,64.4165,40.8122,14.47,97,100,3.38,RU,1689910292
168,port elizabeth,-33.918,25.5701,13.16,58,0,8.75,ZA,1689910292
169,bafia,4.75,11.2333,21.06,99,100,0.55,CM,1689910292
170,cabo san lucas,22.8909,-109.9124,34.61,58,0,7.72,MX,1689909740
171,kostinbrod,42.8167,23.2167,15.99,80,0,0.5,BG,1689910292
172,uvalde,29.3669,-99.767,32.55,43,0,5.14,US,1689910176
173,keflavik,64.0049,-22.5624,11.95,93,100,2.57,IS,1689910293
174,berdigestyakh,62.0989,126.6992,24.29,44,100,4.27,RU,1689910293
175,haimen,23.1935,116.6142,31.94,75,100,2.23,CN,1689910293
176,crane,31.3974,-102.3501,30.95,28,77,6.48,US,1689910293
177,wailua homesteads,22.0669,-159.378,29.24,72,75,7.72,US,1689910293
178,tongchuanshi,35.0806,109.0897,30.54,42,1,2.77,CN,1689910061
179,bardai,11.65,7.2333,22.68,86,100,3.51,NG,1689910294
180,christchurch,-43.5333,172.6333,10.51,65,40,6.17,NZ,1689909642
181,mincivan,39.0294,46.7185,25.52,67,2,1.53,AZ,1689910294
182,kanniyakumari,8.0833,77.5667,28.43,72,82,8.72,IN,1689910294
183,ust-nera,64.5667,143.2,29.92,31,58,4.74,RU,1689910294
184,kismayo,-0.3582,42.5454,25.22,85,46,8.23,SO,1689910295
185,chimbote,-9.0853,-78.5783,20.44,81,66,3.87,PE,1689910290
186,vila velha,-20.3297,-40.2925,18.97,97,100,3.09,BR,1689910295
187,callao,-12.0667,-77.15,21.16,73,100,6.17,PE,1689910295
188,lazaro cardenas,17.9583,-102.2,28.0,83,63,1.9,MX,1689909997
189,macouria,4.9167,-52.3667,22.97,100,0,0.51,GF,1689910295
190,port augusta,-32.5,137.7667,15.54,41,5,2.4,AU,1689910287
191,humahuaca,-23.2054,-65.3505,12.39,15,82,2.12,AR,1689910295
192,dabakala,8.3667,-4.4333,22.04,97,56,2.57,CI,1689910296
193,vung tau,10.346,107.0843,27.17,83,100,5.31,VN,1689910296
194,bosansko grahovo,44.1794,16.3639,17.32,82,2,1.74,BA,1689910296
195,svetlyy,54.675,20.1347,13.87,87,63,6.02,RU,1689910296
196,inirida,3.8653,-67.9239,23.34,97,100,0.48,CO,1689910296
197,cape coast,5.1053,-1.2466,24.0,90,93,3.39,GH,1689910297
198,piikkio,60.4248,22.516,15.5,100,40,1.03,FI,1689910297
199,gornozavodsk,58.3758,58.3211,15.93,75,27,4.84,RU,1689910297
200,fortuna,40.5982,-124.1573,16.63,88,100,3.6,US,1689910297
201,port mathurin,-19.6833,63.4167,23.25,66,21,6.97,MU,1689910297
202,yeppoon,-23.1333,150.7333,24.88,51,30,3.73,AU,1689910297
203,crepy-en-valois,49.2336,2.8881,16.17,82,100,2.06,FR,1689910298
204,nagqu,31.5,92.0,12.8,30,0,4.35,CN,1689910298
205,cudillero,43.5622,-6.1459,18.14,91,40,0.51,ES,1689910298
206,colonia menno,-22.3667,-59.8167,22.56,54,58,6.31,PY,1689910298
207,mamuju,-2.6748,118.8885,29.77,70,57,1.98,ID,1689910298
208,punta alta,-38.8759,-62.0736,14.48,67,100,5.12,AR,1689910299
209,saldanha,-33.0117,17.9442,5.03,62,1,4.63,ZA,1689910299
210,sao felix do xingu,-6.6447,-51.995,21.12,51,1,0.79,BR,1689910299
211,kununurra,-15.7667,128.7333,28.99,26,7,4.63,AU,1689910299
212,enewetak,11.3474,162.3373,28.48,77,83,7.95,MH,1689910299
213,mananjary,-21.2167,48.3333,20.78,87,71,2.17,MG,1689910299
214,tomatlan,19.9333,-105.25,25.99,91,77,0.81,MX,1689910299
215,malabar,-33.9667,151.25,18.77,40,0,7.2,AU,1689910299
216,kavieng,-2.5744,150.7967,28.87,70,18,3.69,PG,1689910300
217,ghadamis,30.1337,9.5007,30.42,14,0,4.23,LY,1689910300
218,tan-tan,28.438,-11.1032,20.35,87,83,7.61,MA,1689910300
219,oranjemund,-28.55,16.4333,12.64,43,0,2.56,NA,1689910300
220,machico,32.7,-16.7667,22.78,81,20,4.12,PT,1689910301
221,akkol',48.7833,53.2,24.2,37,29,4.32,KZ,1689910301
222,orel,52.9658,36.0803,14.24,97,100,2.72,RU,1689910019
223,xincheng,33.6333,115.1833,32.62,63,89,2.98,CN,1689910301
224,lebu,-37.6167,-73.65,11.37,95,99,5.73,CL,1689910301
